player,team,matches,runs_scored,batting_avg,strike_rate,wickets_taken,bowling_avg,economy_rate,maidens,dot_balls,key_wickets,catches,run_outs,potm_wins,potm_rate,team_wins,win_rate,avg_last_5_runs,avg_last_5_wickets
Harbhajan Singh,Mumbai Indians,412,3533,8.58,79.38,636,31.01,3.96,476,18268,309,99,26,15,0.04,227,0.55,0.6,0.8
MJ McClenaghan,Mumbai Indians,216,595,2.75,77.47,328,26.68,6.4,81,4064,189,27,8,3,0.01,109,0.5,0.0,0.8
AS Rajpoot,Kolkata Knight Riders,65,49,0.75,66.22,84,20.8,7.71,6,528,42,7,3,2,0.03,33,0.51,0.0,1.2
SS Tiwary,Rising Pune Supergiants,107,2199,20.55,118.04,0,8.0,8.0,0,3,0,33,6,0,0.0,51,0.48,22.4,0.0
AT Rayudu,Mumbai Indians,272,6730,24.74,107.68,3,42.67,6.19,1,51,2,84,15,13,0.05,148,0.54,28.4,0.0
KH Pandya,Mumbai Indians,187,2633,14.08,122.87,137,32.27,7.05,3,1222,80,60,3,10,0.05,109,0.58,19.2,0.8
R Vinay Kumar,Mumbai Indians,173,670,3.87,99.11,225,24.54,7.3,18,1913,117,46,21,3,0.02,93,0.54,7.2,1.4
MD Gunathilaka,Sri Lanka,128,3488,27.25,91.79,16,47.75,5.67,4,354,11,53,1,5,0.04,41,0.32,12.8,0.0
LD Chandimal,Sri Lanka,334,12265,36.72,63.4,0,0.0,0.0,0,0,0,200,21,11,0.03,132,0.4,46.6,0.0
PADLR Sandakan,Sri Lanka,79,225,2.85,44.2,111,35.82,5.3,38,2164,52,20,2,1,0.01,29,0.37,7.0,1.6
CBRLS Kumara,Sri Lanka,107,223,2.08,34.9,212,31.02,4.9,128,4828,114,18,4,2,0.02,34,0.32,4.0,2.8
MDK Perera,Sri Lanka,66,1480,22.42,48.89,189,34.94,3.45,224,7591,84,20,0,1,0.02,26,0.39,12.8,2.0
SJ Taylor,England,143,3933,27.5,92.48,0,0.0,0.0,0,0,0,77,19,17,0.12,92,0.64,21.8,0.0
JL Gunn,Yorkshire Diamonds,147,1299,8.84,57.68,187,19.64,4.3,106,2974,89,40,7,3,0.02,93,0.63,1.6,1.4
A Shrubsole,Western Storm,223,600,2.69,72.99,305,20.0,4.64,115,4658,176,43,20,12,0.05,157,0.7,0.2,2.0
PG Raut,India,57,1899,33.32,60.19,0,17.0,5.67,0,5,0,12,4,5,0.09,29,0.51,25.2,0.0
M Raj,India,124,4465,36.01,71.95,0,0.0,0.0,0,0,0,34,2,13,0.1,60,0.48,33.4,0.0
J Goswami,India,106,689,6.5,63.27,157,20.25,3.9,88,3163,87,31,3,4,0.04,54,0.51,9.6,0.4
Kainat Imtiaz,Pakistan,33,245,7.42,57.51,15,39.73,6.23,0,242,10,2,2,0,0.0,13,0.39,1.2,0.2
F Walters,Trinidad and Tobago,3,16,5.33,33.33,2,7.5,5.62,0,5,2,0,0,0,0.0,1,0.33,5.33,0.67
CN Nation,Jamaica,100,1507,15.07,64.65,3,27.0,6.57,0,32,2,14,1,0,0.0,34,0.34,15.2,0.0
MR Aguilleira,West Indies,55,665,12.09,63.94,0,0.0,0.0,0,0,0,24,16,0,0.0,19,0.35,15.4,0.0
SF Daley,West Indies,35,261,7.46,61.85,41,20.37,5.25,3,484,21,6,3,2,0.06,15,0.43,1.8,0.4
A Mohammed,Trinidad and Tobago,118,404,3.42,47.36,133,22.28,5.03,16,1686,70,33,12,3,0.03,48,0.41,14.0,1.2
ASS Fletcher,Windward Islands,151,655,4.34,71.27,166,21.28,5.17,9,1886,97,23,6,1,0.01,64,0.42,15.8,1.2
SC Selman,Barbados,117,218,1.86,50.82,102,24.13,4.85,18,1565,59,43,11,0,0.0,52,0.44,1.2,1.6
SS Connell,Barbados,141,182,1.29,54.82,110,30.04,5.37,17,1889,81,26,6,2,0.01,55,0.39,0.4,0.6
L Winfield,Yorkshire Diamonds,99,1894,19.13,81.01,0,0.0,0.0,0,0,0,34,2,4,0.04,52,0.53,35.2,0.0
HASD Siriwardene,Sri Lanka,96,1423,14.82,67.47,97,26.26,5.22,10,1336,60,14,4,5,0.05,20,0.21,7.8,0.8
KADA Kanchana,Sri Lanka,65,431,6.63,66.51,29,38.52,6.1,2,477,13,14,1,0,0.0,15,0.23,4.0,0.0
OU Ranasinghe,Sri Lanka,86,625,7.27,64.17,97,22.56,5.96,7,912,71,13,4,0,0.0,23,0.27,3.0,0.6
HHC Gunaratne,Sri Lanka,17,15,0.88,57.69,19,18.84,4.94,7,233,13,3,1,1,0.06,5,0.29,0.0,0.4
LM Kasperek,New Zealand,146,721,4.94,76.05,242,15.35,5.32,29,1949,121,19,6,2,0.01,93,0.64,2.0,2.4
Kycia A Knight,Barbados,102,1551,15.21,64.76,0,0.0,0.0,0,0,0,32,13,1,0.01,43,0.42,22.2,0.0
Kyshona A Knight,Barbados,83,1152,13.88,56.75,0,32.0,7.38,0,6,0,24,7,0,0.0,33,0.4,28.0,0.0
AK Peters,Windward Islands,14,28,2.0,34.57,4,43.5,5.67,0,83,3,3,1,0,0.0,3,0.21,3.2,0.4
Marina Iqbal,Pakistan,30,398,13.27,60.3,2,48.5,7.27,0,29,0,14,0,0,0.0,13,0.43,24.2,0.0
Diana Baig,Pakistan,111,317,2.86,67.02,92,31.65,5.29,30,1780,59,33,11,0,0.0,37,0.33,0.8,0.4
M Klaas,South Africa,117,152,1.3,40.0,127,28.65,5.49,29,2088,59,16,8,4,0.03,58,0.5,3.2,1.4
S Ecclestone,Lancashire Thunder,304,1987,6.54,90.77,521,17.28,4.6,182,6915,242,83,23,11,0.04,163,0.54,0.8,1.4
Rohan Mustafa,United Arab Emirates,189,3305,17.49,76.75,207,22.71,4.82,43,2897,92,74,9,11,0.06,95,0.5,15.0,0.6
Mohammed Qasim,United Arab Emirates,7,126,18.0,51.43,2,21.5,3.31,1,48,2,3,0,0,0.0,5,0.71,16.8,0.2
Shaiman Anwar,United Arab Emirates,94,2776,29.53,87.79,5,33.8,6.42,0,74,1,29,4,4,0.04,41,0.44,32.2,0.0
Rameez Shahzad,United Arab Emirates,54,1510,27.96,70.56,0,34.0,6.0,0,12,0,17,0,2,0.04,28,0.52,22.2,0.0
Muhammad Usman,United Arab Emirates,85,1966,23.13,85.78,1,6.0,6.0,0,1,0,23,0,3,0.04,45,0.53,27.4,0.0
Amjad Javed,United Arab Emirates,50,722,14.44,89.58,61,24.0,5.52,14,843,40,17,2,1,0.02,21,0.42,12.4,1.0
Ghulam Shabber,United Arab Emirates,44,1007,22.89,69.26,0,0.0,0.0,0,0,0,43,1,3,0.07,24,0.55,29.8,0.0
Mohammad Naveed,United Arab Emirates,78,497,6.37,103.11,121,22.06,5.12,31,1719,69,9,1,3,0.04,38,0.49,3.8,0.6
Adnan Mufti,United Arab Emirates,27,664,24.59,78.86,0,0.0,0.0,0,0,0,13,1,2,0.07,16,0.59,16.2,0.0
Ahmed Raza,United Arab Emirates,117,648,5.54,58.43,141,25.64,4.24,61,2899,69,41,9,3,0.03,64,0.55,2.2,0.4
Imran Haider,United Arab Emirates,40,95,2.38,49.74,59,24.0,5.04,15,884,25,7,1,1,0.03,25,0.62,0.2,0.2
JNT Vare,Papua New Guinea,25,394,15.76,70.36,0,0.0,0.0,0,0,0,14,4,1,0.04,8,0.32,20.0,0.0
A Nao,Papua New Guinea,42,139,3.31,76.37,54,23.91,5.04,14,849,31,12,4,2,0.05,17,0.4,6.6,2.4
L Sreekumar,United Arab Emirates,6,142,23.67,80.23,0,33.0,5.5,0,24,0,2,0,0,0.0,1,0.17,28.4,0.0
Zahoor Khan,MI Emirates,145,158,1.09,54.3,207,22.32,5.75,21,2163,81,17,4,2,0.01,72,0.5,0.4,1.0
Imran Ali Butt,Bahrain,27,481,17.81,88.75,0,0.0,0.0,0,0,0,15,3,0,0.0,12,0.44,20.4,0.0
J Chaturanga,Bahrain,11,305,27.73,88.15,2,28.0,4.6,1,39,1,2,0,2,0.18,5,0.45,23.6,0.0
Mohammed Sameer,Bahrain,13,311,23.92,89.37,0,0.0,0.0,0,0,0,4,0,0,0.0,6,0.46,16.8,0.0
Junaid Aziz,Bahrain,45,585,13.0,97.34,28,12.5,6.09,1,164,10,18,1,1,0.02,24,0.53,12.0,0.6
Azeem ul Haq,Bahrain,8,102,12.75,43.59,2,56.0,4.25,2,101,2,3,0,0,0.0,4,0.5,7.4,0.2
GSPR Arachchige,Bahrain,6,67,11.17,45.89,5,11.2,3.46,4,65,0,0,0,1,0.17,4,0.67,4.0,1.0
Tahir Dar,Bahrain,6,189,31.5,79.08,14,8.57,2.39,13,223,8,2,0,2,0.33,4,0.67,22.0,2.2
Jabbar Amjad,Bahrain,5,12,2.4,80.0,5,27.4,5.2,1,84,4,1,0,0,0.0,3,0.6,2.4,1.0
Muhammad Rafeh,Bahrain,3,37,12.33,194.74,0,0.0,0.0,0,0,0,0,0,0,0.0,2,0.67,12.33,0.0
Babar Ali,Rwanda,9,10,1.11,32.26,10,16.4,3.36,4,192,5,4,0,0,0.0,5,0.56,1.6,1.4
Mohamed Iqbal Noor,Bahrain,9,15,1.67,51.72,8,25.88,4.97,5,158,6,3,0,0,0.0,4,0.44,1.2,1.2
Muhammad Tanveer,Qatar,57,1608,28.21,108.06,13,35.92,5.71,7,239,4,17,4,3,0.05,26,0.46,22.6,0.0
Qalandar Khan,Qatar,9,228,25.33,65.52,0,0.0,0.0,0,0,0,3,0,0,0.0,6,0.67,16.8,0.0
Khurram Shahzad,Pakistan,33,348,10.55,52.41,44,25.66,4.9,22,842,27,7,1,1,0.03,13,0.39,11.8,1.8
Zaheer Ibrahim,Qatar,27,495,18.33,83.9,5,36.6,5.72,1,87,2,2,0,1,0.04,13,0.48,10.8,0.0
Md Shafiqul Haque,Thailand,11,191,17.36,86.82,2,13.0,8.67,0,4,0,2,0,0,0.0,4,0.36,17.8,0.4
Sarbjot Singh,Thailand,3,24,8.0,43.64,0,0.0,0.0,0,0,0,3,0,0,0.0,1,0.33,8.0,0.0
W Maneerat,Thailand,2,65,32.5,55.08,0,0.0,0.0,0,0,0,0,0,0,0.0,1,0.5,32.5,0.0
DF Jacobs,Thailand,17,204,12.0,67.11,11,10.64,4.98,3,88,5,3,0,1,0.06,6,0.35,8.8,0.0
RR Raina,Thailand,4,113,28.25,64.94,5,17.8,5.62,1,56,2,2,0,0,0.0,2,0.5,28.25,1.25
N Pathan,Thailand,10,158,15.8,100.64,4,26.5,7.15,0,44,3,1,0,1,0.1,2,0.2,13.8,0.2
S Gawas,Thailand,3,42,14.0,63.64,2,37.0,5.41,2,45,0,1,0,0,0.0,1,0.33,14.0,0.67
N Senamontree,Thailand,40,77,1.93,55.0,57,14.33,5.32,10,515,39,2,0,2,0.05,22,0.55,0.2,1.6
P Sungnard,Thailand,6,28,4.67,80.0,7,16.71,7.09,0,40,3,5,0,0,0.0,1,0.17,5.6,1.4
Vichanath Singh,Thailand,22,60,2.73,54.05,15,27.33,4.89,7,267,11,6,1,0,0.0,5,0.23,9.4,0.4
K Senamontree,Thailand,18,16,0.89,47.06,18,18.06,5.72,1,178,7,5,1,0,0.0,9,0.5,0.0,0.6
Inayat Saeed,Saudi Arabia,6,109,18.17,90.83,0,0.0,0.0,0,0,0,3,0,0,0.0,4,0.67,13.4,0.0
Hasnat Ahmed,Italy,8,48,6.0,60.76,8,25.38,6.41,1,84,4,2,0,0,0.0,4,0.5,3.2,1.4
Mohammad Afzal,Saudi Arabia,12,155,12.92,71.76,15,15.6,5.46,1,110,6,2,0,1,0.08,8,0.67,19.6,1.6
Shahbaz Rasheed,Saudi Arabia,14,324,23.14,79.22,5,20.0,5.66,0,56,4,4,0,0,0.0,9,0.64,13.4,0.6
Imran Arif,Saudi Arabia,10,127,12.7,104.96,21,11.76,5.55,3,151,15,5,0,1,0.1,6,0.6,14.2,2.4
Nadeem Javed,Saudi Arabia,8,79,9.88,141.07,8,25.62,5.0,4,143,4,1,0,0,0.0,6,0.75,15.8,0.6
Omar Imtiaz,Saudi Arabia,2,30,15.0,76.92,1,24.0,4.24,1,21,0,0,0,0,0.0,2,1.0,15.0,0.5
R Ntozakhe,South Africa,32,8,0.25,26.67,26,31.88,4.41,14,638,11,5,0,0,0.0,21,0.66,0.8,0.8
CS Mugeri-Tiripano,Zimbabwe,59,1419,24.05,90.5,0,0.0,0.0,0,0,0,15,2,5,0.08,33,0.56,37.6,0.0
N Sibanda,Zimbabwe,61,119,1.95,41.32,58,18.53,4.49,17,839,41,18,11,1,0.02,32,0.52,1.2,1.4
A Steyn,South Africa,33,814,24.67,61.02,0,0.0,0.0,0,0,0,10,0,1,0.03,19,0.58,13.4,0.0
N de Klerk,South Africa,158,1967,12.45,80.91,164,24.93,5.49,35,2261,70,31,8,3,0.02,78,0.49,4.0,0.4
L Paul,Ireland,85,1429,16.81,64.51,35,27.46,5.32,8,474,15,15,3,4,0.05,38,0.45,23.4,0.0
R Stokell,Ireland,63,823,13.06,79.13,0,0.0,0.0,0,0,0,10,1,1,0.02,30,0.48,8.0,0.0
SM Kavanagh,Ireland,50,493,9.86,68.57,4,36.0,6.4,0,48,4,12,2,0,0.0,16,0.32,3.6,0.0
J Gray,Ireland,10,112,11.2,58.03,0,0.0,0.0,0,0,0,1,1,0,0.0,1,0.1,4.2,0.0
LC Boylan,Ireland,3,36,12.0,63.16,2,27.5,9.17,0,11,2,0,0,0,0.0,0,0.0,12.0,0.67
Rachel Delaney,Ireland,25,140,5.6,47.95,18,27.89,4.71,7,330,8,6,0,0,0.0,6,0.24,2.6,0.8
L Little,Ireland,23,77,3.35,83.7,5,78.4,6.96,0,134,2,5,2,0,0.0,7,0.3,5.0,0.0
A Beggs,Ireland,5,11,2.2,28.21,5,34.2,4.89,2,107,2,0,0,0,0.0,0,0.0,2.2,1.0
S MacMahon,Ireland,32,152,4.75,86.86,17,28.88,5.17,0,257,13,5,1,0,0.0,14,0.44,5.6,0.4
AC Mushangwe,Adelaide Strikers,42,104,2.48,54.74,53,14.09,5.43,8,401,23,11,3,1,0.02,32,0.76,3.2,1.0
E Mbofana,Zimbabwe,20,28,1.4,30.77,24,23.5,5.06,4,327,15,3,2,1,0.05,10,0.5,1.0,0.4
SR Thompson,Ireland,75,920,12.27,80.21,70,26.53,5.85,14,932,32,42,5,0,0.0,25,0.33,5.4,0.0
DA Rankin,North-West Warriors,28,496,17.71,83.22,0,0.0,0.0,0,0,0,10,0,0,0.0,7,0.25,14.6,0.0
W McClintock,North-West Warriors,38,511,13.45,100.2,2,46.0,8.62,0,20,1,7,1,2,0.05,15,0.39,15.4,0.0
G Kennedy,North-West Warriors,42,501,11.93,73.89,33,30.24,6.07,2,453,17,17,2,0,0.0,17,0.4,5.8,0.6
J Thompson,North-West Warriors,7,171,24.43,79.53,7,28.14,6.12,0,92,4,3,0,0,0.0,3,0.43,31.4,0.4
RL Dougherty,North-West Warriors,10,159,15.9,76.81,0,0.0,0.0,0,0,0,8,0,0,0.0,4,0.4,10.4,0.0
SA Britton,North-West Warriors,11,84,7.64,90.32,11,26.18,5.17,2,186,6,2,0,0,0.0,4,0.36,7.6,1.2
SV Lazars,North-West Warriors,7,30,4.29,88.24,10,18.6,5.0,1,99,5,2,1,0,0.0,4,0.57,6.0,1.2
D Scanlon,North-West Warriors,12,19,1.58,47.5,14,27.71,5.81,1,202,11,3,0,0,0.0,3,0.25,2.4,1.2
R Allen,North-West Warriors,26,72,2.77,56.69,18,24.11,5.8,0,199,7,11,2,0,0.0,10,0.38,2.2,0.6
J Grassi,Italy,15,253,16.87,64.38,0,0.0,0.0,0,0,0,5,0,0,0.0,7,0.47,11.6,0.0
JB Tector,Leinster Lightning,28,593,21.18,74.59,0,0.0,0.0,0,0,0,6,1,0,0.0,16,0.57,17.4,0.0
N Pretorius,Munster Reds,6,95,15.83,131.94,0,0.0,0.0,0,0,0,8,0,0,0.0,2,0.33,16.4,0.0
RJ Forrest,Munster Reds,5,104,20.8,102.97,0,0.0,0.0,0,0,0,2,0,0,0.0,2,0.4,20.8,0.0
SF Grobler,Munster Reds,2,45,22.5,102.27,0,29.0,9.67,0,8,0,0,0,0,0.0,0,0.0,22.5,0.0
Arslan Anwar,Munster Reds,1,2,2.0,50.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,2.0,0.0
HT Tector,Ireland,186,4870,26.18,84.92,42,32.26,5.65,4,661,25,93,10,2,0.01,77,0.41,25.0,0.2
DC Delany,Munster Reds,47,338,7.19,80.09,44,33.82,7.13,4,561,25,8,0,1,0.02,26,0.55,6.6,0.4
Muhammad Sadique,Munster Reds,1,12,12.0,120.0,1,23.0,5.31,0,8,1,0,0,0,0.0,0,0.0,12.0,1.0
M Neville,Munster Reds,1,2,2.0,33.33,0,29.0,7.25,0,10,0,0,0,0,0.0,0,0.0,2.0,0.0
G King,Munster Reds,1,12,12.0,120.0,2,11.5,6.9,0,7,2,0,0,0,0.0,0,0.0,12.0,2.0
R Anders,Leinster Lightning,7,23,3.29,67.65,3,41.0,6.47,1,56,2,1,0,0,0.0,4,0.57,3.6,0.6
C Hassett,Munster Reds,7,142,20.29,88.75,0,0.0,0.0,0,0,0,3,0,0,0.0,2,0.29,23.6,0.0
M Bauer,Munster Reds,1,0,0.0,0.0,0,7.0,6.0,0,3,0,0,0,0,0.0,0,0.0,0.0,0.0
ST Doheny,Ireland,75,1901,25.35,89.0,0,0.0,0.0,0,0,0,42,6,2,0.03,35,0.47,32.2,0.0
GJ Delany,Ireland,135,2258,16.73,119.16,84,27.11,6.9,7,754,43,45,3,5,0.04,64,0.47,2.0,0.4
SP Terry,Northamptonshire,23,648,28.17,64.41,0,0.0,0.0,0,0,0,10,0,0,0.0,7,0.3,23.8,0.0
L Tucker,Ireland,172,4257,24.75,100.35,0,0.0,0.0,0,0,0,178,15,5,0.03,84,0.49,53.0,0.0
K Ota,Japan,24,116,4.83,38.67,19,18.79,4.85,0,215,10,3,2,0,0.0,10,0.42,4.6,0.6
S Miyaji,Japan,26,180,6.92,51.72,21,18.62,4.56,5,266,14,3,2,2,0.08,9,0.35,0.6,0.6
M Shiraishi,Japan,10,40,4.0,28.17,0,0.0,0.0,0,0,0,1,0,0,0.0,3,0.3,3.2,0.0
M Yanagida,Japan,38,390,10.26,63.0,30,12.1,4.32,2,245,11,3,5,2,0.05,13,0.34,14.8,1.2
E Kobayashi,Japan,8,25,3.12,37.88,2,34.5,6.9,0,20,1,3,0,0,0.0,1,0.12,2.4,0.2
R Endo,Japan,11,48,4.36,45.71,5,20.4,6.31,0,37,4,1,0,1,0.09,4,0.36,5.4,0.4
M Kanno,Japan,13,81,6.23,46.82,5,25.8,4.96,1,73,4,0,0,0,0.0,4,0.31,7.0,0.0
A Umetani,Japan,3,7,2.33,38.89,0,23.0,8.62,0,8,0,0,0,0,0.0,0,0.0,2.33,0.0
E Yamaguchi,Japan,6,17,2.83,36.96,0,0.0,0.0,0,0,0,0,1,0,0.0,1,0.17,2.6,0.0
VM Andrew,Samoa,10,80,8.0,49.69,0,0.0,0.0,0,0,0,0,0,0,0.0,4,0.4,6.4,0.0
LO Telea,Samoa,7,55,7.86,43.31,15,5.47,2.98,9,123,9,2,0,3,0.43,5,0.71,6.0,2.6
RSM Lili'i,Auckland,18,212,11.78,74.65,6,10.17,3.52,5,68,3,8,0,1,0.06,10,0.56,10.2,0.0
F Vaelua,Samoa,4,34,8.5,73.91,2,23.0,3.54,0,44,2,1,0,1,0.25,3,0.75,8.5,0.5
T Lafai,Samoa,12,76,6.33,59.38,7,28.0,5.39,0,107,2,2,0,0,0.0,5,0.42,7.8,0.0
MI Tato,Samoa,7,0,0.0,0.0,11,7.55,3.25,2,100,5,1,0,0,0.0,5,0.71,0.0,1.8
M Uliao,Samoa,5,17,3.4,48.57,6,6.67,2.18,1,79,2,2,0,0,0.0,4,0.8,3.4,1.2
LA Bourne,Samoa,6,26,4.33,42.62,0,0.0,0.0,0,0,0,3,0,0,0.0,4,0.67,1.4,0.0
ETV Vaaetasi,Samoa,2,9,4.5,52.94,0,0.0,0.0,0,0,0,0,0,0,0.0,1,0.5,4.5,0.0
D Kalifa,Samoa,1,1,1.0,100.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0
GP Tom,Papua New Guinea,14,19,1.36,55.88,8,30.12,4.82,1,169,6,1,0,0,0.0,6,0.43,0.8,0.2
BS Adhihetty,Canada,13,269,20.69,60.59,3,7.0,3.41,0,21,1,2,0,0,0.0,6,0.46,19.4,0.0
NR Kumar,St Lucia Zouks,92,1912,20.78,88.27,37,21.35,5.45,5,427,19,36,1,9,0.1,36,0.39,8.2,0.6
NS Dhaliwal,Canada,84,2538,30.21,87.7,16,29.25,5.38,4,282,10,40,3,12,0.14,48,0.57,21.2,0.2
DN Pathirana,Canada,9,183,20.33,64.66,0,8.0,8.0,0,3,0,5,0,0,0.0,4,0.44,9.6,0.0
Junaid Siddiqui,Canada,43,165,3.84,59.57,31,31.58,5.18,4,536,19,8,3,1,0.02,15,0.35,8.2,0.0
N Dutta,Barisal Bulls,70,505,7.21,66.98,89,19.74,4.4,20,1311,30,8,2,1,0.01,41,0.59,6.2,1.2
Rizwan Cheema,Canada,55,911,16.56,114.74,28,39.64,5.17,9,646,8,17,0,2,0.04,19,0.35,18.2,0.0
Hamza Tariq,Canada,51,744,14.59,99.07,0,0.0,0.0,0,0,0,36,3,0,0.0,23,0.45,17.4,0.0
Saad Bin Zafar,Canada,110,986,8.96,91.64,152,18.99,4.75,39,2011,65,32,3,6,0.05,62,0.56,2.8,0.4
SS Dhindsa,Canada,17,167,9.82,76.61,25,23.12,5.58,3,334,19,7,1,0,0.0,6,0.35,13.4,0.4
C Pervez,Canada,34,44,1.29,69.84,39,23.69,4.41,18,754,26,5,0,1,0.03,17,0.5,4.2,0.8
Anwar Arudin,Malaysia,54,957,17.72,83.73,0,0.0,0.0,0,0,0,10,1,0,0.0,25,0.46,44.6,0.0
Syed Aziz,Malaysia,104,2267,21.8,114.73,57,25.19,6.51,9,576,29,31,8,8,0.08,49,0.47,31.2,1.4
Ahmed Faiz,Malaysia,119,3266,27.45,90.65,0,30.0,9.47,0,6,0,41,9,11,0.09,52,0.44,59.8,0.0
Virandeep Singh,Malaysia,108,2891,26.77,94.94,89,16.24,5.43,10,760,26,42,7,14,0.13,53,0.49,9.0,0.2
Shafiq Sharif,Malaysia,53,884,16.68,92.28,0,0.0,0.0,0,0,0,36,3,1,0.02,22,0.42,14.6,0.0
Khizar Hayat,Malaysia,75,709,9.45,78.6,87,20.85,4.68,33,1259,36,15,9,2,0.03,43,0.57,14.8,1.2
Mohammad Shukri,Malaysia,7,41,5.86,49.4,5,36.2,3.96,1,148,1,2,0,0,0.0,6,0.86,4.6,0.6
NCK Liyanage,Malaysia,6,15,2.5,78.95,5,25.8,4.78,2,103,5,1,0,0,0.0,2,0.33,3.0,0.8
Muhammad Wafiq,Malaysia,46,74,1.61,60.16,45,28.49,6.0,11,601,25,7,1,0,0.0,17,0.37,3.4,0.6
Pavandeep Singh,Malaysia,102,65,0.64,26.97,134,18.53,4.61,38,1836,97,19,4,2,0.02,50,0.49,0.0,0.8
AN Davidson-Richards,Yorkshire Diamonds,134,2556,19.07,82.58,114,22.68,6.4,5,974,60,52,7,5,0.04,69,0.51,43.0,0.0
HJ Armitage,Yorkshire Diamonds,155,3781,24.39,92.63,45,23.47,5.82,3,448,17,53,12,1,0.01,77,0.5,26.8,0.0
KA Levick,Yorkshire Diamonds,133,191,1.44,54.89,202,17.24,5.04,19,2107,97,7,4,0,0.0,66,0.5,3.0,1.6
TF Brookes,Loughborough Lightning,40,451,11.28,85.58,6,11.83,4.58,0,48,3,8,2,0,0.0,16,0.4,9.2,0.0
SB Odedra,Loughborough Lightning,28,184,6.57,59.16,23,23.87,5.63,7,293,13,5,0,0,0.0,13,0.46,4.2,0.8
S Glenn,Northern Districts,195,813,4.17,94.43,243,17.49,5.56,21,2086,135,34,6,5,0.03,126,0.65,0.8,1.2
LF Higham,The Blaze,105,637,6.07,69.09,79,25.47,5.35,16,1093,40,22,10,1,0.01,57,0.54,6.6,0.4
SIR Dunkley,Surrey Stars,209,4873,23.32,101.97,40,20.93,6.71,0,314,26,48,7,11,0.05,119,0.57,14.4,0.0
BF Smith,Surrey Stars,154,3127,20.31,105.53,112,20.2,5.72,9,1001,52,37,9,5,0.03,83,0.54,18.8,0.0
SN Luff,Western Storm,108,2777,25.71,78.36,1,43.0,6.62,0,14,0,31,6,0,0.0,46,0.43,10.0,0.0
GM Hennessy,Western Storm,47,787,16.74,75.97,35,30.66,5.71,3,499,13,12,6,0,0.0,25,0.53,6.4,1.0
AJ Macleod,Southern Vipers,56,917,16.38,82.99,7,37.86,5.48,0,129,5,9,0,0,0.0,13,0.23,25.2,0.0
FR Davies,Western Storm,147,166,1.13,45.36,175,22.15,5.77,31,1980,95,25,11,4,0.03,89,0.61,0.0,1.0
C Nicholas,Welsh Fire,61,71,1.16,60.17,63,22.98,6.03,6,685,46,14,5,0,0.0,38,0.62,0.6,0.4
BA King,West Indies,200,4926,24.63,111.5,0,0.0,0.0,0,0,0,73,1,12,0.06,96,0.48,14.8,0.0
SS Cottrell,St Kitts and Nevis Patriots,170,299,1.76,90.88,229,24.5,6.83,22,2254,143,62,3,4,0.02,66,0.39,3.0,2.2
G Singh,Suriname,61,1499,24.57,83.88,25,13.64,4.39,4,273,6,26,2,7,0.11,30,0.49,25.0,2.4
KMA Paul,Sharjah Warriorz,161,1560,9.69,111.59,131,31.46,7.32,12,1340,69,67,4,2,0.01,81,0.5,8.4,0.0
AB Fudadin,Guyana Amazon Warriors,13,321,24.69,56.02,0,11.0,2.2,1,24,0,5,0,0,0.0,9,0.69,32.4,0.0
RS Primus,Antigua and Barbuda Falcons,40,426,10.65,115.76,26,24.0,8.65,0,138,12,11,0,0,0.0,17,0.42,12.4,0.8
K Pierre,St Lucia Kings,70,104,1.49,83.2,69,26.0,7.02,3,639,48,30,2,5,0.07,40,0.57,0.0,0.6
RRS Cornwall,Antigua Hawksbills,87,1625,18.68,119.4,68,34.16,4.14,75,2157,42,17,1,5,0.06,34,0.39,4.8,0.8
KR Mayers,St Lucia Zouks,205,4995,24.37,101.36,109,27.56,5.0,75,2128,73,63,8,14,0.07,84,0.41,5.6,0.2
S Shillingford,St Lucia Zouks,43,310,7.21,46.48,97,33.04,3.65,117,3566,55,9,1,2,0.05,10,0.23,0.0,1.0
OC McCoy,Dubai Capitals,139,167,1.2,97.09,185,23.1,8.38,2,1068,92,21,4,3,0.02,72,0.52,0.0,1.6
GD Phillips,New Zealand,326,10761,33.01,100.57,113,35.77,4.4,94,3259,42,200,9,19,0.06,146,0.45,36.0,0.6
AM McCarthy,Durdanto Dhaka,24,364,15.17,104.9,0,52.0,7.61,0,14,0,12,0,2,0.08,11,0.46,3.2,0.0
GE Mathurin,Jamaica Tallawahs,19,20,1.05,90.91,18,24.78,6.93,0,146,15,1,0,1,0.05,10,0.53,3.2,1.0
K Santokie,St Kitts and Nevis Patriots,86,167,1.94,89.78,137,18.29,7.53,2,744,70,13,3,3,0.03,40,0.47,0.6,1.2
JPR Scantlebury-Searles,Trinidad & Tobago Red Steel,33,186,5.64,101.09,17,30.0,9.71,0,96,12,22,0,0,0.0,19,0.58,2.2,0.4
OF Smith,St Kitts and Nevis Patriots,107,973,9.09,126.86,114,26.25,8.64,1,714,50,31,7,3,0.03,48,0.45,8.0,0.6
DC Thomas,St Kitts and Nevis Patriots,95,1418,14.93,94.79,9,20.67,6.49,1,82,2,65,5,2,0.02,34,0.36,29.0,0.0
WKD Perkins,Trinidad & Tobago Red Steel,17,275,16.18,106.18,0,0.0,0.0,0,0,0,7,0,0,0.0,12,0.71,17.0,0.0
