venue,team,matches,wins,losses,win_rate,lose_rate
"Clifton Park Ground, York",Yorkshire,2,1,1,0.5,0.5
"Woodbridge Road, Guildford",Hampshire,1,1,0,1.0,0.0
"New Close County Cricket Ground, Newport, Isle-of-Wight",Kent,1,0,1,0.0,1.0
"New Close County Cricket Ground, Newport, Isle-of-Wight",Hampshire,3,3,0,1.0,0.0
"Sophia Gardens, Cardiff",Northamptonshire,7,2,2,0.29,0.29
"Old Trafford, Manchester",Leicestershire,7,2,5,0.29,0.71
"Riverside Ground, Chester-le-Street",Nottinghamshire,14,5,7,0.36,0.5
"Sophia Gardens, Cardiff",Kent,9,3,4,0.33,0.44
"Headingley, Leeds",Derbyshire,8,1,4,0.12,0.5
"Riverside Ground, Chester-le-Street",Leicestershire,9,4,3,0.44,0.33
"County Ground, New Road, Worcester",Northamptonshire,7,4,3,0.57,0.43
"County Ground, Chelmsford",Sussex,7,3,4,0.43,0.57
"Stanley Park, Blackpool",Worcestershire,1,0,1,0.0,1.0
"County Ground, Chelmsford",Glamorgan,12,3,8,0.25,0.67
"Riverside Ground, Chester-le-Street",Birmingham Bears,4,3,1,0.75,0.25
"Riverside Ground, Chester-le-Street",Yorkshire,12,5,5,0.42,0.42
"County Ground, New Road, Worcester",Durham,11,2,6,0.18,0.55
"The Cooper Associates County Ground, Taunton",Nottinghamshire,5,2,2,0.4,0.4
"Wankhede Stadium, Mumbai",Australia,6,4,2,0.67,0.33
"Wankhede Stadium, Mumbai",India,15,8,7,0.53,0.47
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",India,4,3,1,0.75,0.25
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Australia,2,1,1,0.5,0.5
"MA Chidambaram Stadium, Chepauk, Chennai",Australia,2,1,1,0.5,0.5
"MA Chidambaram Stadium, Chepauk, Chennai",India,9,5,2,0.56,0.22
"Gahanga International Cricket Stadium, Rwanda",Rwanda,33,6,27,0.18,0.82
"Gahanga International Cricket Stadium, Rwanda",Tanzania,21,11,9,0.52,0.43
"Gahanga International Cricket Stadium, Rwanda",Uganda,34,31,2,0.91,0.06
"UKM-YSD Cricket Oval, Bangi",Bahrain,7,4,2,0.57,0.29
"UKM-YSD Cricket Oval, Bangi",Singapore,9,0,9,0.0,1.0
"Shere Bangla National Stadium, Mirpur",Dhaka Dominators,6,2,4,0.33,0.67
"Zahur Ahmed Chowdhury Stadium, Chattogram",Rangpur Riders,12,8,4,0.67,0.33
"Shere Bangla National Stadium, Mirpur",Sylhet Strikers,18,10,8,0.56,0.44
Sylhet International Cricket Stadium,Sylhet Strikers,13,5,8,0.38,0.62
Sylhet International Cricket Stadium,Fortune Barishal,10,7,3,0.7,0.3
La Manga Club Bottom Ground,Isle of Man,5,0,4,0.0,0.8
Multan Cricket Stadium,Quetta Gladiators,3,0,3,0.0,1.0
"Gaddafi Stadium, Lahore",Lahore Qalandars,21,11,9,0.52,0.43
"Gaddafi Stadium, Lahore",Quetta Gladiators,9,5,4,0.56,0.44
Rawalpindi Cricket Stadium,Karachi Kings,7,3,4,0.43,0.57
Rawalpindi Cricket Stadium,Quetta Gladiators,8,3,5,0.38,0.62
Rawalpindi Cricket Stadium,Peshawar Zalmi,12,8,4,0.67,0.33
Rawalpindi Cricket Stadium,Lahore Qalandars,4,2,2,0.5,0.5
Rawalpindi Cricket Stadium,Islamabad United,13,6,7,0.46,0.54
"Headingley, Leeds",Birmingham Phoenix,4,2,1,0.5,0.25
"Kennington Oval, London",Welsh Fire,5,2,1,0.4,0.2
"Lord's, London",Trent Rockets,5,4,1,0.8,0.2
"Lord's, London",Oval Invincibles,10,9,0,0.9,0.0
"Edgbaston, Birmingham",Birmingham Phoenix,29,15,13,0.52,0.45
"Edgbaston, Birmingham",Welsh Fire,4,2,2,0.5,0.5
"Sophia Gardens, Cardiff",Trent Rockets,4,3,1,0.75,0.25
"The Rose Bowl, Southampton",Birmingham Phoenix,4,0,4,0.0,1.0
"Trent Bridge, Nottingham",Manchester Originals,4,2,2,0.5,0.5
"The Rose Bowl, Southampton",Oval Invincibles,4,1,3,0.25,0.75
"Zahur Ahmed Chowdhury Stadium, Chattogram",Ireland,3,1,2,0.33,0.67
Morodok Techo National Stadium,Cambodia,4,0,4,0.0,1.0
Morodok Techo National Stadium,Singapore,4,4,0,1.0,0.0
"Tribhuvan University International Cricket Ground, Kirtipur",Scotland,4,2,2,0.5,0.5
Dubai International Cricket Stadium,United Arab Emirates,31,10,21,0.32,0.68
Dubai International Cricket Stadium,Nepal,6,3,3,0.5,0.5
"Tribhuvan University International Cricket Ground, Kirtipur",United Arab Emirates,9,3,6,0.33,0.67
"Dr DY Patil Sports Academy, Mumbai",Gujarat Giants,3,0,3,0.0,1.0
"Dr DY Patil Sports Academy, Mumbai",UP Warriorz,5,2,3,0.4,0.6
"Dr DY Patil Sports Academy, Mumbai",Delhi Capitals,9,6,3,0.67,0.33
"Brabourne Stadium, Mumbai",Gujarat Giants,7,2,5,0.29,0.71
"Brabourne Stadium, Mumbai",UP Warriorz,4,2,2,0.5,0.5
"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,7,3,4,0.43,0.57
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,3,1,2,0.33,0.67
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,15,7,8,0.47,0.53
"Barsapara Cricket Stadium, Guwahati",Punjab Kings,2,2,0,1.0,0.0
"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,4,1,3,0.25,0.75
"Eden Gardens, Kolkata",Kolkata Knight Riders,15,7,8,0.47,0.53
"Eden Gardens, Kolkata",Royal Challengers Bangalore,2,1,1,0.5,0.5
"Barsapara Cricket Stadium, Guwahati",Delhi Capitals,1,0,1,0.0,1.0
"Arun Jaitley Stadium, Delhi",Delhi Capitals,17,9,8,0.53,0.47
"Arun Jaitley Stadium, Delhi",Mumbai Indians,9,5,4,0.56,0.44
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,14,7,6,0.5,0.43
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Punjab Kings,2,1,1,0.5,0.5
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Mumbai Indians,2,1,1,0.5,0.5
"M Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,2,2,0,1.0,0.0
"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,12,6,6,0.5,0.5
"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,4,2,2,0.5,0.5
"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,16,11,5,0.69,0.31
"MA Chidambaram Stadium, Chepauk, Chennai",Punjab Kings,4,3,1,0.75,0.25
"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,10,5,5,0.5,0.5
"Sawai Mansingh Stadium, Jaipur",Gujarat Titans,2,2,0,1.0,0.0
"Wankhede Stadium, Mumbai",Gujarat Titans,5,3,2,0.6,0.4
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Lucknow Super Giants,3,2,1,0.67,0.33
"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore,1,1,0,1.0,0.0
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Royal Challengers Bangalore,1,1,0,1.0,0.0
"Eden Gardens, Kolkata",Lucknow Super Giants,3,1,2,0.33,0.67
"St Albans Club, Buenos Aires",Cayman Islands,4,2,2,0.5,0.5
"St Albans Club, Buenos Aires",Bahamas,3,1,2,0.33,0.67
"Hurlingham Club Ground, Buenos Aires",Cayman Islands,4,3,1,0.75,0.25
"Hurlingham Club Ground, Buenos Aires",Panama,5,2,3,0.4,0.6
"Mission Road Ground, Mong Kok, Hong Kong",Kuwait,4,1,3,0.25,0.75
"Mission Road Ground, Mong Kok, Hong Kong",Bahrain,7,3,4,0.43,0.57
"Mission Road Ground, Mong Kok, Hong Kong",Hong Kong,18,13,4,0.72,0.22
"Mission Road Ground, Mong Kok, Hong Kong",Malaysia,5,2,3,0.4,0.6
"Wanderers Cricket Ground, Windhoek",Canada,4,1,2,0.25,0.5
"United Cricket Club Ground, Windhoek",Jersey,2,1,1,0.5,0.5
"United Cricket Club Ground, Windhoek",Papua New Guinea,2,0,2,0.0,1.0
"Terdthai Cricket Ground, Bangkok",Zimbabwe,6,1,5,0.17,0.83
"Terdthai Cricket Ground, Bangkok",Thailand,14,10,4,0.71,0.29
Kowloon Cricket Club,Barmy Army,7,5,2,0.71,0.29
Kowloon Cricket Club,Falcons,7,4,3,0.57,0.43
Kowloon Cricket Club,Warriors,7,5,1,0.71,0.14
Kowloon Cricket Club,Spirit,7,3,4,0.43,0.57
Santarem Cricket Ground,Gibraltar,3,0,3,0.0,1.0
Santarem Cricket Ground,Portugal,3,3,0,1.0,0.0
Europa Sports Complex,Malta,6,1,5,0.17,0.83
Europa Sports Complex,Portugal,6,6,0,1.0,0.0
"Kensington Oval, Bridgetown, Barbados",Trinbago Knight Riders,4,3,1,0.75,0.25
"Kensington Oval, Bridgetown, Barbados",Barbados Royals,11,8,3,0.73,0.27
"Brian Lara Stadium, Tarouba, Trinidad",St Lucia Kings,5,3,2,0.6,0.4
"Brian Lara Stadium, Tarouba, Trinidad",St Kitts and Nevis Patriots,3,1,2,0.33,0.67
"Providence Stadium, Guyana",Jamaica Tallawahs,9,6,3,0.67,0.33
"Providence Stadium, Guyana",St Kitts and Nevis Patriots,4,1,3,0.25,0.75
"MA Chidambaram Stadium, Chepauk, Chennai",Gujarat Titans,2,0,2,0.0,1.0
"Svanholm Park, Brondby",Sweden,3,2,1,0.67,0.33
"United Cricket Club Ground, Windhoek",United Arab Emirates,10,4,6,0.4,0.6
"Kingsmead, Durban",Australia,4,4,0,1.0,0.0
"Kingsmead, Durban",South Africa,11,4,6,0.36,0.55
"Brian Lara Stadium, Tarouba, Trinidad",England,2,1,1,0.5,0.5
"Brian Lara Stadium, Tarouba, Trinidad",West Indies,9,6,3,0.67,0.33
Adelaide Oval,West Indies,6,0,5,0.0,0.83
"Brisbane Cricket Ground, Woolloongabba, Brisbane",West Indies,2,1,1,0.5,0.5
Sydney Cricket Ground,West Indies,6,0,4,0.0,0.67
"Manuka Oval, Canberra",West Indies,1,0,1,0.0,1.0
"Manuka Oval, Canberra",Australia,9,5,2,0.56,0.22
"Bellerive Oval, Hobart",Australia,7,7,0,1.0,0.0
"Bellerive Oval, Hobart",West Indies,4,1,3,0.25,0.75
"Allan Border Field, Brisbane",Australia,7,7,0,1.0,0.0
"Allan Border Field, Brisbane",West Indies,2,0,2,0.0,1.0
"Junction Oval, Melbourne",West Indies,2,0,1,0.0,0.5
"Junction Oval, Melbourne",Australia,5,4,0,0.8,0.0
"Manuka Oval, Canberra",South Africa,2,1,1,0.5,0.5
"YSD-UKM Cricket Oval, Bangi",Nepal,7,5,2,0.71,0.29
"YSD-UKM Cricket Oval, Bangi",Malaysia,8,5,3,0.62,0.38
Dubai International Cricket Stadium,New Zealand,21,8,11,0.38,0.52
"Takashinga Sports Club, Highfield, Harare",West Indies,2,1,0,0.5,0.0
"Takashinga Sports Club, Highfield, Harare",United States of America,6,0,6,0.0,1.0
Bulawayo Athletic Club,United Arab Emirates,3,0,3,0.0,1.0
Bulawayo Athletic Club,Oman,3,2,1,0.67,0.33
"Takashinga Sports Club, Highfield, Harare",Netherlands,3,2,0,0.67,0.0
"Queens Sports Club, Bulawayo",Sri Lanka,6,6,0,1.0,0.0
"Queens Sports Club, Bulawayo",Scotland,4,2,2,0.5,0.5
Bulawayo Athletic Club,Ireland,2,1,1,0.5,0.5
"Grainville, St Saviour, Jersey",Turkey,2,0,2,0.0,1.0
"Grainville, St Saviour, Jersey",Jersey,3,2,1,0.67,0.33
"Grainville, St Saviour, Jersey",Sweden,1,0,1,0.0,1.0
"Grainville, St Saviour, Jersey",Germany,4,2,2,0.5,0.5
"FB Fields, St Clement",Jersey,2,1,1,0.5,0.5
"FB Fields, St Clement",Sweden,3,1,2,0.33,0.67
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Ireland,6,0,5,0.0,0.83
"Castle Avenue, Dublin",Australia,2,2,0,1.0,0.0
"Gymkhana Club Ground, Nairobi",Botswana,7,1,6,0.14,0.86
"Gymkhana Club Ground, Nairobi",Rwanda,9,2,7,0.22,0.78
"Gymkhana Club Ground, Nairobi",Kenya,24,12,12,0.5,0.5
"Mission Road Ground, Mong Kok, Hong Kong",United Arab Emirates,1,1,0,1.0,0.0
"P Sara Oval, Colombo",Sri Lanka,4,1,2,0.25,0.5
"P Sara Oval, Colombo",New Zealand,3,2,1,0.67,0.33
Bayer Uerdingen Cricket Ground,Belgium,6,2,4,0.33,0.67
Grand Prairie Stadium,Seattle Orcas,4,3,1,0.75,0.25
Grand Prairie Stadium,MI New York,6,4,2,0.67,0.33
"Sportpark Het Schootsveld, Deventer",Austria,2,0,2,0.0,1.0
"Sportpark Het Schootsveld, Deventer",Germany,5,3,2,0.6,0.4
"National Sports Academy, Sofia",Turkey,3,1,2,0.33,0.67
"R Premadasa Stadium, Colombo",Dambulla Aura,10,7,2,0.7,0.2
Pallekele International Cricket Stadium,Dambulla Aura,6,2,4,0.33,0.67
Pallekele International Cricket Stadium,Jaffna Kings,10,5,5,0.5,0.5
"R Premadasa Stadium, Colombo",B-Love Kandy,8,4,4,0.5,0.5
"R Premadasa Stadium, Colombo",Galle Titans,7,3,3,0.43,0.43
"Goldenacre, Edinburgh",Jersey,3,1,2,0.33,0.67
"Goldenacre, Edinburgh",Ireland,2,2,0,1.0,0.0
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Denmark,4,0,4,0.0,1.0
"Amini Park, Port Moresby",Vanuatu,6,2,4,0.33,0.67
"Amini Park, Port Moresby",Japan,6,3,3,0.5,0.5
"Bayuemas Oval, Kuala Lumpur",China,5,1,4,0.2,0.8
"Bayuemas Oval, Kuala Lumpur",Malaysia,32,20,12,0.62,0.38
"Bayuemas Oval, Kuala Lumpur",Bhutan,6,3,3,0.5,0.5
"Bayuemas Oval, Kuala Lumpur",Thailand,8,5,3,0.62,0.38
"Bayuemas Oval, Kuala Lumpur",Myanmar,9,0,9,0.0,1.0
"JSCA International Stadium Complex, Ranchi",Saurashtra,3,2,1,0.67,0.33
"JSCA International Stadium Complex, Ranchi",Punjab,4,3,1,0.75,0.25
"Sawai Mansingh Stadium, Jaipur",Haryana,3,1,2,0.33,0.67
"Sawai Mansingh Stadium, Jaipur",Chhattisgarh,3,1,2,0.33,0.67
"Abhimanyu Cricket Academy, Dehradun",Tripura,3,1,2,0.33,0.67
"Abhimanyu Cricket Academy, Dehradun",Tamil Nadu,3,1,2,0.33,0.67
"Sawai Mansingh Stadium, Jaipur",Mumbai,3,3,0,1.0,0.0
"Sawai Mansingh Stadium, Jaipur",Jammu & Kashmir,4,2,2,0.5,0.5
"Abhimanyu Cricket Academy, Dehradun",Uttar Pradesh,3,3,0,1.0,0.0
"Abhimanyu Cricket Academy, Dehradun",Nagaland,2,0,2,0.0,1.0
"Sawai Mansingh Stadium, Jaipur",Mizoram,3,0,3,0.0,1.0
"Sawai Mansingh Stadium, Jaipur",Meghalaya,2,0,2,0.0,1.0
"JSCA International Stadium Complex, Ranchi",Arunachal Pradesh,2,0,2,0.0,1.0
"Sawai Mansingh Stadium, Jaipur",Baroda,2,2,0,1.0,0.0
"Abhimanyu Cricket Academy, Dehradun",Karnataka,3,1,2,0.33,0.67
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Delhi,1,0,1,0.0,1.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab,3,3,0,1.0,0.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",South Africa,2,2,0,1.0,0.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Australia,2,1,1,0.5,0.5
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Netherlands,1,1,0,1.0,0.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",South Africa,1,0,1,0.0,1.0
"Maharashtra Cricket Association Stadium, Pune",Bangladesh,2,0,2,0.0,1.0
"Maharashtra Cricket Association Stadium, Pune",India,4,2,2,0.5,0.5
"Eden Gardens, Kolkata",Netherlands,1,1,0,1.0,0.0
"Eden Gardens, Kolkata",Bangladesh,2,0,2,0.0,1.0
"Eden Gardens, Kolkata",Pakistan,2,1,1,0.5,0.5
"Eden Gardens, Kolkata",India,7,7,0,1.0,0.0
"Eden Gardens, Kolkata",South Africa,2,0,2,0.0,1.0
"Maharashtra Cricket Association Stadium, Pune",England,2,1,1,0.5,0.5
"Maharashtra Cricket Association Stadium, Pune",Netherlands,1,0,1,0.0,1.0
"Sportpark Maarschalkerweerd, Utrecht",Thailand,4,2,2,0.5,0.5
"Sportpark Maarschalkerweerd, Utrecht",Scotland,5,3,2,0.6,0.4
Marsa Sports Club,Luxembourg,9,3,6,0.33,0.67
Marsa Sports Club,France,9,5,4,0.56,0.44
"Trent Bridge, Nottingham",West Indies,1,0,1,0.0,1.0
"Edgbaston, Birmingham",West Indies,1,0,1,0.0,1.0
"Bellerive Oval, Hobart",Melbourne Stars,7,2,5,0.29,0.71
"International Sports Stadium, Coffs Harbour",Sydney Sixers,3,1,2,0.33,0.67
"International Sports Stadium, Coffs Harbour",Brisbane Heat,1,1,0,1.0,0.0
"University of Tasmania Stadium, Launceston",Perth Scorchers,2,1,1,0.5,0.5
"University of Tasmania Stadium, Launceston",Hobart Hurricanes,5,3,2,0.6,0.4
"North Sydney Oval, Sydney",Sydney Sixers,16,6,9,0.38,0.56
"North Sydney Oval, Sydney",Brisbane Heat,6,3,2,0.5,0.33
"Cricket Central, Sydney",Melbourne Renegades,1,0,1,0.0,1.0
"Cricket Central, Sydney",Sydney Thunder,3,2,1,0.67,0.33
"Western Australia Cricket Association Ground, Perth",Perth Scorchers,15,9,6,0.6,0.4
"Western Australia Cricket Association Ground, Perth",Sydney Sixers,4,2,2,0.5,0.5
"North Sydney Oval, Sydney",Hobart Hurricanes,4,0,4,0.0,1.0
"Junction Oval, Melbourne",Perth Scorchers,8,5,3,0.62,0.38
"Junction Oval, Melbourne",Sydney Thunder,3,1,2,0.33,0.67
"Sportpark Het Schootsveld, Deventer",Guernsey,3,2,1,0.67,0.33
"The Wanderers Stadium, Johannesburg",India,4,3,1,0.75,0.25
"Moara Vlasiei Cricket Ground, Ilfov County",Greece,4,2,2,0.5,0.5
"Moara Vlasiei Cricket Ground, Ilfov County",Isle of Man,4,4,0,1.0,0.0
"Moara Vlasiei Cricket Ground, Ilfov County",Romania,15,10,5,0.67,0.33
"Seddon Park, Hamilton",England,4,1,3,0.25,0.75
"Seddon Park, Hamilton",New Zealand,13,9,2,0.69,0.15
"Bay Oval, Mount Maunganui",New Zealand,14,6,7,0.43,0.5
"Eden Park, Auckland",Pakistan,2,1,1,0.5,0.5
"University Oval, Dunedin",Pakistan,4,2,2,0.5,0.5
"Bay Oval, Mount Maunganui",South Africa,3,2,1,0.67,0.33
"Seddon Park, Hamilton",South Africa,2,1,1,0.5,0.5
"Sky Stadium, Wellington",New Zealand,3,1,2,0.33,0.67
"Sky Stadium, Wellington",Australia,2,2,0,1.0,0.0
"Basin Reserve, Wellington",New Zealand,14,4,9,0.29,0.64
"R Premadasa Stadium, Colombo",Bangladesh,2,1,1,0.5,0.5
"Shaheed Veer Narayan Singh International Stadium, Raipur",India,2,2,0,1.0,0.0
"Shaheed Veer Narayan Singh International Stadium, Raipur",Australia,1,0,1,0.0,1.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",England,2,1,1,0.5,0.5
"Himachal Pradesh Cricket Association Stadium, Dharamsala",India,4,4,0,1.0,0.0
"Karen Rolton Oval, Adelaide",Tasmania,3,1,0,0.33,0.0
Adelaide Oval,Western Australia,5,2,2,0.4,0.4
"Junction Oval, Melbourne",Tasmania,3,0,1,0.0,0.33
Sydney Cricket Ground,New South Wales,14,5,4,0.36,0.29
Sydney Cricket Ground,Victoria,5,2,1,0.4,0.2
"Bellerive Oval, Hobart",Western Australia,6,3,2,0.5,0.33
Hagley Oval,Auckland Aces,2,0,1,0.0,0.5
University of Otago Oval,Northern Districts,4,3,0,0.75,0.0
Bay Oval,Central Stags,4,1,1,0.25,0.25
"The Wanderers Stadium, Johannesburg",MI Cape Town,4,2,2,0.5,0.5
"Kingsmead, Durban",Sunrisers Eastern Cape,3,2,0,0.67,0.0
"Boland Park, Paarl",Sunrisers Eastern Cape,3,2,1,0.67,0.33
"Boland Park, Paarl",Paarl Royals,15,11,4,0.73,0.27
"The Wanderers Stadium, Johannesburg",Paarl Royals,5,1,3,0.2,0.6
"West End Park International Cricket Stadium, Doha",Oman,3,2,1,0.67,0.33
"Bayuemas Oval, Kuala Lumpur",Hong Kong,18,7,10,0.39,0.56
"Bayuemas Oval, Kuala Lumpur",Kuwait,15,9,6,0.6,0.4
"Bayuemas Oval, Kuala Lumpur",Nepal,7,5,2,0.71,0.29
Vanuatu Cricket Ground,Japan,4,1,3,0.25,0.75
Vanuatu Cricket Ground,Vanuatu,4,4,0,1.0,0.0
"Bayuemas Oval, Kuala Lumpur",Qatar,2,0,2,0.0,1.0
"Selangor Turf Club, Kuala Lumpur",Bahrain,2,0,2,0.0,1.0
"Selangor Turf Club, Kuala Lumpur",Nepal,2,2,0,1.0,0.0
"UKM-YSD Cricket Oval, Bangi",Myanmar,2,0,2,0.0,1.0
"UKM-YSD Cricket Oval, Bangi",China,2,1,1,0.5,0.5
"UKM-YSD Cricket Oval, Bangi",Thailand,8,3,5,0.38,0.62
"UKM-YSD Cricket Oval, Bangi",Nepal,4,3,1,0.75,0.25
"Bayuemas Oval, Kuala Lumpur",United Arab Emirates,5,5,0,1.0,0.0
Vanuatu Cricket Ground,Papua New Guinea,4,3,1,0.75,0.25
Vanuatu Cricket Ground,Samoa,2,0,2,0.0,1.0
"Botswana Cricket Association Oval 2, Gaborone",Malawi,1,1,0,1.0,0.0
"Botswana Cricket Association Oval 2, Gaborone",Lesotho,5,0,5,0.0,1.0
"Botswana Cricket Association Oval 1, Gaborone",Mozambique,10,3,7,0.3,0.7
"Botswana Cricket Association Oval 1, Gaborone",Sierra Leone,3,2,1,0.67,0.33
"Woodley Cricket Field, Los Angeles",United States of America,6,6,0,1.0,0.0
"Woodley Cricket Field, Los Angeles",Argentina,6,0,6,0.0,1.0
"Woodley Cricket Field, Los Angeles",Brazil,6,2,4,0.33,0.67
"Woodley Cricket Field, Los Angeles",Canada,6,4,2,0.67,0.33
"Desert Springs Cricket Ground, Almeria",Scotland,10,6,4,0.6,0.4
"Desert Springs Cricket Ground, Almeria",Italy,14,5,9,0.36,0.64
"Desert Springs Cricket Ground, Almeria",Netherlands,6,5,1,0.83,0.17
Sylhet International Cricket Stadium,New Zealand,1,0,1,0.0,1.0
"Buffalo Park, East London",Bangladesh,1,1,0,1.0,0.0
"Senwes Park, Potchefstroom",Bangladesh,1,0,1,0.0,1.0
"Senwes Park, Potchefstroom",South Africa,6,3,3,0.5,0.5
"Willowmoore Park, Benoni",South Africa,7,4,3,0.57,0.43
"Willowmoore Park, Benoni",Bangladesh,3,1,1,0.33,0.33
"Willowmoore Park, Benoni",Sri Lanka,1,0,1,0.0,1.0
"Headingley, Leeds",England,9,5,2,0.56,0.22
"Headingley, Leeds",Pakistan,2,0,2,0.0,1.0
"County Ground, Derby",England,5,3,2,0.6,0.4
"County Ground, Derby",Pakistan,1,0,1,0.0,1.0
"County Ground, Chelmsford",Pakistan,1,0,1,0.0,1.0
"The Rose Bowl, Southampton",New Zealand,3,1,2,0.33,0.67
Zhejiang University of Technology Cricket Field,India,5,4,0,0.8,0.0
Zhejiang University of Technology Cricket Field,Nepal,2,1,1,0.5,0.5
"West End Park International Cricket Stadium, Doha",Maldives,9,0,9,0.0,1.0
"White Hill Field, Sandys Parish",Panama,2,0,2,0.0,1.0
"White Hill Field, Sandys Parish",Bermuda,5,5,0,1.0,0.0
"National Stadium, Hamilton",Panama,2,0,2,0.0,1.0
"National Stadium, Hamilton",Bermuda,3,2,1,0.67,0.33
Europa Sports Complex,Serbia,4,0,4,0.0,1.0
Europa Sports Complex,Gibraltar,19,11,8,0.58,0.42
"Tafawa Balewa Square Cricket Oval, Lagos",Nigeria,11,11,0,1.0,0.0
"Tafawa Balewa Square Cricket Oval, Lagos",Rwanda,10,4,5,0.4,0.5
"Tafawa Balewa Square Cricket Oval, Lagos",Ghana,9,2,6,0.22,0.67
Mulpani Cricket Ground,United Arab Emirates,9,5,4,0.56,0.44
Mulpani Cricket Ground,Nepal,5,5,0,1.0,0.0
Mulpani Cricket Ground,Hong Kong,7,2,5,0.29,0.71
Mulpani Cricket Ground,Kuwait,3,1,2,0.33,0.67
"Tribhuvan University International Cricket Ground, Kirtipur",Malaysia,11,2,8,0.18,0.73
"Tribhuvan University International Cricket Ground, Kirtipur",Singapore,3,0,3,0.0,1.0
"Tribhuvan University International Cricket Ground, Kirtipur",Bahrain,1,0,1,0.0,1.0
"Tribhuvan University International Cricket Ground, Kirtipur",Oman,6,4,1,0.67,0.17
"Zayed Cricket Stadium, Abu Dhabi",Desert Vipers,6,3,3,0.5,0.5
Dubai International Cricket Stadium,Gulf Giants,20,9,11,0.45,0.55
Dubai International Cricket Stadium,Dubai Capitals,20,12,8,0.6,0.4
"Zayed Cricket Stadium, Abu Dhabi",Sharjah Warriors,4,1,3,0.25,0.75
"United Cricket Club Ground, Windhoek",Tanzania,2,0,2,0.0,1.0
"United Cricket Club Ground, Windhoek",Zimbabwe,7,4,3,0.57,0.43
"Wanderers Cricket Ground, Windhoek",Nigeria,2,0,1,0.0,0.5
"Wanderers Cricket Ground, Windhoek",Rwanda,5,0,4,0.0,0.8
"Wanderers Cricket Ground, Windhoek",Kenya,2,1,1,0.5,0.5
"Wanderers Cricket Ground, Windhoek",Tanzania,4,1,3,0.25,0.75
"United Cricket Club Ground, Windhoek",Kenya,4,2,2,0.5,0.5
Udayana Cricket Ground,Cambodia,6,2,4,0.33,0.67
Udayana Cricket Ground,Indonesia,40,26,13,0.65,0.33
Hong Kong Cricket Club,Tanzania,4,2,2,0.5,0.5
Hong Kong Cricket Club,Hong Kong,4,4,0,1.0,0.0
"Western Australia Cricket Association Ground, Perth",Brisbane Heat,4,2,2,0.5,0.5
"Bay Oval, Mount Maunganui",Wellington,2,1,1,0.5,0.5
"Eden Park, Auckland",Canterbury,3,1,1,0.33,0.33
"Seddon Park, Hamilton",Central Districts,5,3,2,0.6,0.4
"Fitzherbert Park, Palmerston North",Central Districts,8,3,5,0.38,0.62
"Fitzherbert Park, Palmerston North",Northern Districts,2,0,2,0.0,1.0
"Molyneux Park, Alexandra",Otago,12,5,6,0.42,0.5
"Molyneux Park, Alexandra",Auckland,4,0,3,0.0,0.75
"McLean Park, Napier",Central Districts,12,6,6,0.5,0.5
"McLean Park, Napier",Wellington,2,2,0,1.0,0.0
"Old Trafford, Manchester",Kent,4,1,2,0.25,0.5
"Trent Bridge, Nottingham",Somerset,10,5,3,0.5,0.3
"Edgbaston, Birmingham",Hampshire,14,7,3,0.5,0.21
"County Ground, New Road, Worcester",Surrey,4,3,1,0.75,0.25
"St Lawrence Ground, Canterbury",Nottinghamshire,3,2,0,0.67,0.0
"Sophia Gardens, Cardiff",Derbyshire,6,1,2,0.17,0.33
"County Ground, Bristol",Yorkshire,2,1,0,0.5,0.0
"Headingley, Leeds",Glamorgan,3,0,0,0.0,0.0
"County Ground, Derby",Northamptonshire,10,2,6,0.2,0.6
